player_name,player_id,,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Darius Bazley,bazleda01,2022,4045,1924,-3.582215389,0.003228078,-3.578987311,-3.230339351,-3.754988845,-6.985328196,-3.633769165,-0.760846276,-4.394615441,-1.613204803,-1.613204803,0,-3.881949824,-1.155377858,-5.037327682,-0.073744932
Bradley Beal,bealbr01,2022,2979,1439,1.655043081,-0.23284485,1.422198231,-1.803144923,3.705917655,1.902772732,1.065695723,0.602301211,1.667996934,3.264921883,3.264921883,0,1.27911118,0.151084599,1.430195779,0.657518082
Malik Beasley,beaslma01,2022,4517,2095,0.923707904,-2.584682751,-1.660974847,-1.380454357,0.783891583,-0.596562773,0.466771665,-2.031229155,-1.56445749,1.270844473,1.380227531,-0.109383058,0.678559855,-2.499728112,-1.821168257,0.241995747
Jordan Bell,belljo01,2022,4,2,19.52798322,-34.39352273,-14.86553951,57.51923336,-26.23076141,31.28847195,28.69971286,-34.69422327,-5.994510406,-0.003507789,-0.003507789,0,27.49895227,-0.838914641,26.66003763,5.953309429
DeAndre' Bembry,bembrde01,2022,2155,1026,-1.011423978,1.150074516,0.138650538,0.197629995,-0.448849557,-0.251219562,-0.840679524,0.895844282,0.055164759,1.468029373,1.468029373,0,-0.760503016,1.1969737,0.436470685,-0.306716053
Davis Bertans,bertada01,2022,2070,999,-0.729878413,-1.286359183,-2.016237596,0.846638481,1.148236,1.994874481,-0.451623356,-0.851002819,-1.302626175,0.765543279,0.168511141,0.597032138,0.334825246,-1.102233779,-0.767408532,0.267019108
Patrick Beverley,beverpa01,2022,3512,1670,2.110844948,1.996166535,4.107011483,-0.459709205,1.176154397,0.716445192,1.679362496,1.938938256,3.618300752,5.435824979,5.030521368,0.405303611,1.531546818,2.687686424,4.219233242,-0.058381507
Saddiq Bey,beysa01,2022,5595,2704,0.387758565,-2.033542387,-1.645783822,-1.399925958,-3.469282878,-4.869208836,0.125940707,-2.419866249,-2.293925542,0.628431169,0.628431169,0,-0.490088677,-2.299018749,-2.789107426,-0.120856404
Khem Birch,birchkh01,2022,2131,1054,-2.332302741,0.329601107,-2.002701634,1.796373642,-2.838899336,-1.042525694,-1.638160599,-0.31851099,-1.956671589,0.426356354,0.37943563,0.046920724,-2.464074587,0.535278998,-1.928795589,-0.733674518
Goga Bitadze,bitadgo01,2022,1529,729,0.188182161,-2.616450364,-2.428268203,1.510065886,-2.320655561,-0.810589675,0.479394183,-2.637143199,-2.157749016,0.22195887,0.22195887,0,0.301207216,-3.089301275,-2.788094059,0.762474788
Bismack Biyombo,biyombi01,2022,1221,592,-2.205283215,-0.34477345,-2.550056665,-0.436047296,1.788104387,1.352057091,-2.005734162,0.01290791,-1.992826252,0.2234388,0.260706322,-0.037267521,-2.345446455,0.235455493,-2.109990962,-0.315454918
Nemanja Bjelica,bjeline01,2022,2672,1292,-1.004821667,2.097688239,1.092866573,-1.475584134,0.348911009,-1.126673125,-1.188650384,1.747468187,0.558817802,2.186129885,2.187437396,-0.001307511,-0.784617153,2.259414657,1.474797505,0.310681059
Eric Bledsoe,bledser01,2022,2830,1361,-1.886695056,2.000671907,0.113976851,-3.055082207,1.685533561,-1.369548646,-2.223354894,2.034542558,-0.188812336,1.785719487,1.785719487,0,-1.714817418,1.990534904,0.275717486,0.409154037
Keljin Blevins,blevike01,2022,733,349,-6.251576632,-5.721011792,-11.97258842,-3.596613099,-7.732100688,-11.32871379,-6.010539009,-6.395472481,-12.40601149,-1.710732343,-1.710732343,0,-5.79725268,-6.783941427,-12.58119411,-0.501084212
Bogdan Bogdanovic,bogdabo01,2022,4018,1955,2.828721235,-0.916880207,1.911841028,2.341119532,0.703002577,3.044122109,2.849609391,-0.607251871,2.24235752,4.977680782,4.588718955,0.388961827,3.149917171,-0.229208893,2.920708279,-0.38271892
Bojan Bogdanovic,bogdabo02,2022,4786,2345,0.203571592,-2.16498228,-1.961410688,0.875542385,-2.690109683,-1.814567299,0.284362568,-2.440703746,-2.156341179,0.710566793,0.696001025,0.014565768,0.34629379,-2.939004015,-2.592710224,0.424069631
Bol Bol,bolbo01,2022,175,81,-5.065985457,-1.08143729,-6.147422747,-3.154264345,2.389967169,-0.764297177,-4.997959151,-0.430168832,-5.428127983,-0.110374444,-0.110374444,0,-4.746838343,-3.854494572,-8.601332915,-0.273243631
